value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
-832.046453093,0,0,-42,-55.8447653566,-602.580475953,-415.865398897,284.244187114
366.10850925,0,0,-680,-7.61172798068,677.6,351.43207025,24.6881669808
-1380.72738547,0,0,0,11.4814969942,-558.32657782,-420.108923376,-413.773381272
-1635.87851686,0,0,-1506,-16.8806265871,-68.1,-42.1435641587,-2.75432611214
2051.21575779,0,0,1754,110.907033769,1.02283713245e-11,-2.2667948527e-12,186.308724018
688.648100257,0,0,801,-1.81944432019,-137.871244282,130.250220729,-102.911431869
-2996.81517585,0,0,-3088,-14.9579968476,-249.5,242.447382399,113.1954386
1487.51688227,0,0,1214,61.9732109342,5.24565030059e-12,436.0,-224.456328669
-711.023990704,0,0,0,-82.8615479794,-795.011320674,456.395387794,-289.546509845
2160.00974361,0,0,1452,65.8616789987,212.75,259.834047272,169.564017336
1079.22804998,0,0,1268,-6.80703258196,-57.7,-98.3312491162,-25.9336683193
-237.665265692,0,0,69,-42.7190511632,-170.780209626,-155.018547277,61.8525423754
4651.61027286,0,0,4827,-5.30730140524,-3.4756196421e-11,-1.44151207078e-11,-170.082425734
1257.23590173,0,0,2248,57.841974102,-297.5,-421.143660262,-329.962412113
218.858256429,0,0,0,13.3880851809,67.6,82.8764358956,54.9937353522
-1329.00461462,0,0,-762,34.7097933883,-602.580475953,-415.865398897,416.731466842
318.975642418,0,0,1100,-1.76574718242,-789.0,-396.686904246,406.428293846
-18.1690647353,0,0,0,-4.17808744021,-462.544168161,343.119264979,105.433925887
-118.571088215,0,0,0,-18.0134410642,674.806994629,-613.838806202,-161.525835577
-2243.17780845,0,0,-2240,-34.9354616704,195.8,-121.198102295,-42.844244481
749.209001848,0,0,0,-132.748956073,445.0,647.170303614,-210.212345693
432.434434145,0,0,489,-5.75939904155,-79.5877346078,60.1021630226,-31.3205952283
206.418845274,0,0,0,24.7033282624,499.523452903,-124.4,-193.407935891
-54.3111558113,0,0,0,-7.4012668632,-1.32491272269e-11,-4.20404998545e-12,-46.9098889481
-4641.17008302,0,0,-4872,195.69920435,617.4,-327.74399308,-254.525294288
1906.35642766,0,0,1118,-111.912711015,2.8934052365e-11,557.0,343.269138671
-546.59047298,0,0,-810,72.0139236409,103.4,169.230204766,-81.2346013865
1738.57821919,0,0,2367,42.9337958066,-433.878727296,-117.952659995,-119.524189326
272.579781356,0,0,360,-31.4754996693,-182.5,51.3755804529,75.1797005721
-13.6220722109,0,0,0,-7.42207221086,5.0933682516e-12,-39.2,33.0
1296.93165421,0,0,1508,3.50650199591,-425.5,190.211724139,20.7134280791
3704.27038661,0,0,4101,11.125253559,-433.878727296,-68.1,94.1238603429
1448.82758011,0,0,970,-43.1020144881,415.432386195,367.887591528,-261.390383125
578.401181192,0,0,-246,2.36015902729,272.25,459.877285896,89.9137362686
1056.41636908,0,0,1728,-237.219390741,-469.0,-227.501940645,262.137700461
1560.99281796,0,0,1491,-5.10002012095,420.022320835,-269.766913279,-75.1625694748
81.6877674907,0,0,0,17.8993769074,158.6,-42.7092495837,-52.102359833
